prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun4/sssp-capq_clique4000_d4,libc,154,0.0938045658333,34670167532.0,1039459338.0,4405396888.0,141600214.0,23103171198.0,17732.0,21731.0,320277.0,5962004023.0,12201460.0,6334411.0,5980539894.0,15996000.0,32958.0,17720.0,16046678.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.11415402625,42191328102.0,1080219853.0,4008562837.0,119248894.0,30884273771.0,17550.0,21549.0,409810.0,5776637903.0,316338085.0,6046759.0,6099022747.0,15996000.0,945842.0,17307.0,16959149.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.09499346625,35109585126.0,1176688969.0,4685556387.0,111473088.0,23318183323.0,17731.0,21730.0,320399.0,5809277947.0,2243870.0,6161542.0,5817683359.0,15996000.0,6600.0,17725.0,16020325.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.0867312416667,32055866920.0,1171300361.0,4650898434.0,126204586.0,20561009338.0,17481.0,21480.0,288302.0,5529885351.0,10625032.0,5943818.0,5546454201.0,15996000.0,29522.0,17471.0,16042993.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.0825533908333,30511733252.0,1029571014.0,4402217676.0,141922712.0,19414911922.0,17396.0,21395.0,277545.0,5510227620.0,7018198.0,5864110.0,5523109928.0,15996000.0,22078.0,17388.0,16035466.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.0838372520833,30986248370.0,953049103.0,4905438397.0,129067215.0,19149282356.0,17305.0,21304.0,274601.0,5835287508.0,7757714.0,6366077.0,5849411299.0,15996000.0,20525.0,17297.0,16033822.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.111762183333,41307302960.0,966028172.0,4898799454.0,104024610.0,29585334317.0,17364.0,21363.0,399479.0,5677608327.0,69527179.0,5980901.0,5753116407.0,15996000.0,201171.0,17312.0,16214483.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.0983880095833,36364208342.0,1047818480.0,4360956616.0,129666032.0,24940542408.0,17536.0,21535.0,346328.0,5878610413.0,729935.0,5884458.0,5885224806.0,15996000.0,1837.0,17532.0,16015369.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.0910429183333,38456528704.0,1273618375.0,5388490546.0,156079838.0,25784810260.0,17762.0,21761.0,300238.0,5726928302.0,120264035.0,6337348.0,5853529685.0,15996000.0,324555.0,17679.0,16338234.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.106997736667,45195843968.0,1367303899.0,5499876087.0,118416664.0,32422732787.0,17850.0,21849.0,357779.0,5671677937.0,109344668.0,6491926.0,5787514531.0,15996000.0,315667.0,17767.0,16329434.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.12502707,52811434368.0,1297328430.0,5750059157.0,133930339.0,39553902173.0,18007.0,22006.0,437187.0,6065350183.0,4087191.0,6776895.0,6076214269.0,15996000.0,9790.0,18003.0,16023793.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.104886765,44304169536.0,1380618330.0,5766663670.0,224046923.0,31058173834.0,18065.0,22064.0,358526.0,5860621711.0,7124608.0,6920460.0,5874666779.0,15996000.0,17899.0,18057.0,16031956.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.0849764745833,35894062864.0,1283139813.0,5551784567.0,133165412.0,23072033426.0,17539.0,21538.0,278052.0,5764565056.0,82798298.0,6576292.0,5853939646.0,15996000.0,212798.0,17482.0,16226280.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.105091119583,44390488912.0,1378450698.0,5569113861.0,153873529.0,31313353567.0,17350.0,21349.0,336971.0,5967690793.0,1568160.0,6438304.0,5975697257.0,15996000.0,4000.0,17349.0,16017349.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.128076674167,54099587168.0,1340260783.0,6041210709.0,125536708.0,40077449973.0,17818.0,21817.0,451715.0,6506898183.0,1406090.0,6824722.0,6515128995.0,15996000.0,3436.0,17814.0,16017250.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.0973880783333,41136724288.0,1349094840.0,5624480392.0,171173463.0,28199224004.0,17154.0,21153.0,308586.0,5783200373.0,3439814.0,6111402.0,5792751589.0,15996000.0,7569.0,17150.0,16020719.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,176,0.0940771666667,39738195200.0,1251727668.0,5766704502.0,163310435.0,26896016841.0,17648.0,21647.0,310154.0,5645175459.0,8767668.0,6492627.0,5660435754.0,15996000.0,19815.0,17642.0,16033457.0,0,0,0,0,0,0,0,0
