prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun3/sssp-obim_twitter40_d4,libc,176,4.25733396833,1.79829786822e+12,1.95486040639e+11,1.14778000419e+11,2.01334403651e+11,67981654232.0,98739505.0,99740566.0,2087047.0,9.23025768401e+11,2.64128289469e+11,31563711413.0,1.21871776928e+12,1414798477.0,390276968.0,59041421.0,1864116866.0,98178173.0,90375207118.0,1493735.0,6157966936.0,68658.0,2913476268.0,44788527.0,46360615391.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.27334075917,1.80505913667e+12,1.86255591472e+11,1.15043580261e+11,2.02624509011e+11,75861825753.0,98803163.0,99804224.0,2248963.0,9.25905840409e+11,2.67418515908e+11,31949273858.0,1.22527363018e+12,1414798477.0,393702739.0,59034524.0,1867535740.0,98240888.0,92016375185.0,1498583.0,5704350453.0,64753.0,1071967950.0,49025648.0,51681074007.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.26737575667,1.80253951962e+12,1.97600031292e+11,1.13818226289e+11,2.0053857236e+11,74718850798.0,98871497.0,99872558.0,2162499.0,9.20335719502e+11,2.63788292146e+11,31739827229.0,1.21586383888e+12,1414798477.0,390745959.0,59049932.0,1864594368.0,98308079.0,90703327790.0,1494984.0,5786250196.0,69495.0,1893591404.0,48659594.0,51010105938.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.28646747833,1.81060386285e+12,1.84426691712e+11,1.15443624734e+11,2.01245478532e+11,84660799684.0,98896948.0,99898009.0,2558663.0,9.25674636126e+11,2.67333889133e+11,31818742927.0,1.22482726819e+12,1414798477.0,393516082.0,59104346.0,1867418905.0,98333067.0,91322800866.0,1499984.0,5671920596.0,64958.0,1229413154.0,55600733.0,57675131795.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.30440440833,1.81818042208e+12,1.81918321897e+11,1.1546602796e+11,2.01083352516e+11,91435216718.0,99049300.0,100050361.0,2640950.0,9.26782704376e+11,2.6967272101e+11,31822077603.0,1.22827750299e+12,1414798477.0,397384040.0,59156815.0,1871339332.0,98483088.0,91507989979.0,1493215.0,5570785152.0,74058.0,766444406.0,59074421.0,62317446688.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.34263726792,1.83432998197e+12,1.99935232462e+11,1.14760278601e+11,2.02070976808e+11,91483471554.0,99136020.0,100137081.0,2653082.0,9.24753585538e+11,2.69469639165e+11,31856797840.0,1.22608002254e+12,1414798477.0,397307613.0,59294547.0,1871400637.0,98568424.0,91431422605.0,1506397.0,5891484427.0,62260.0,1623727191.0,59533328.0,62394196023.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.31364677833,1.82208439917e+12,1.99563803655e+11,1.14421909716e+11,2.0377167475e+11,82957317824.0,98759210.0,99760271.0,2466836.0,9.24471052361e+11,2.65181747502e+11,31716893360.0,1.22136969322e+12,1414798477.0,391149840.0,59002635.0,1864950952.0,98197490.0,91005862876.0,1500264.0,6213290299.0,62517.0,3918194244.0,53611065.0,56575305817.0
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.95033752,4.01422568448e+11,45217023637.0,56918877608.0,1.23707212084e+11,81905397094.0,22662404.0,22662407.0,155115.0,89634765354.0,210729611.0,3828563060.0,93674058025.0,67108861.0,136891.0,5850867.0,73096619.0,21948127.0,20731532414.0,219744.0,608462839.0,494536.0,1280803392.0,103590087.0,1.1030076584e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.968270266667,4.0899736064e+11,45463505572.0,57678145029.0,1.25561960171e+11,85605678434.0,22731692.0,22731695.0,124586.0,90487898631.0,278952711.0,3921220092.0,94688071434.0,67108861.0,182314.0,5908784.0,73199959.0,22002480.0,21176276225.0,218419.0,611300585.0,510796.0,1327511694.0,103767845.0,1.13572396569e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.993611802917,4.19701625552e+11,44579372467.0,57608820881.0,1.34460539821e+11,88880259963.0,22732079.0,22732082.0,119931.0,90013762768.0,289328057.0,3869541595.0,94172632420.0,67108861.0,187244.0,5907933.0,73204038.0,21991583.0,20947769147.0,214386.0,606279544.0,526113.0,1361278543.0,113348656.0,1.22649984254e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.96857661125,4.09126760592e+11,44711289536.0,57299865828.0,1.28997395289e+11,84021410004.0,22693320.0,22693323.0,150449.0,89975272873.0,257171745.0,3864355317.0,94096799935.0,67108861.0,162902.0,5875253.0,73147016.0,21981975.0,20940910111.0,217801.0,613596033.0,493547.0,1284118892.0,107848346.0,1.15321302405e+11
